author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares,sentimento,confianca
katyperry,Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK,,12/01/2017 19:52,8.19633e+17,en,,,7900,3472,negativo,0.85
katyperry,@barackobama Thank you for your incredible grace in leadership and for being an exceptional… https://t.co/ZuQLZpt6df,,11/01/2017 08:38,8.19101e+17,en,,,3689,1380,positivo,0.98
katyperry,Life goals. https://t.co/XIn1qKMKQl,,11/01/2017 02:52,8.19014e+17,en,,,10341,2387,neutro,0.5
katyperry,Me right now 🙏🏻 https://t.co/gW55C1wrwd,,11/01/2017 02:44,8.19012e+17,en,,,10774,2458,positivo,0.98
katyperry,SISTERS ARE DOIN' IT FOR THEMSELVES! 🙌🏻💪🏻❤️ https://t.co/0shuUYUBEv,,10/01/2017 05:22,8.18689e+17,en,,,17620,4655,positivo,0.98
katyperry,happy 96th gma #fourmoreyears! 🎈 @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA,,09/01/2017 01:00,8.18261e+17,en,,,8242,2164,positivo,0.99
katyperry,"Kyoto, Japan 1. 5. 17. https://t.co/o28M0vw9lR",,06/01/2017 03:57,8.17218e+17,tl,,,7171,1910,positivo,0.98
katyperry,🇯🇵 @ Sanrio Puroland https://t.co/eXVev5UMBx,,02/01/2017 09:31,8.15853e+17,cy,,,7766,2468,positivo,0.98
katyperry,2017 resolution: to embody authenticity!,,01/01/2017 03:31,8.154e+17,en,,,23662,8430,positivo,0.98
katyperry,sisters. https://t.co/5ZE21x2aNk,,27/12/2016 04:04,8.13596e+17,en,,,9324,2637,neutro,0.85
katyperry,Happy Holidays! Sending love and light to every corner of the earth 🎁,,25/12/2016 20:35,8.13121e+17,en,,,23205,7419,positivo,0.98
katyperry,"Damn, it's hard to wrap presents when you're drunk. cc @santa",,25/12/2016 05:45,8.12897e+17,en,,,20410,5042,negativo,0.98
katyperry,When my whole fam tryna have a peaceful holiday 💁🏻hehehe https://t.co/fEyq3hzdlz,,24/12/2016 16:26,8.12696e+17,en,,,8608,2183,positivo,0.98
katyperry,When your holiday shopping is woke af ❗️blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L,,23/12/2016 18:42,8.12368e+17,en,,,6713,1948,positivo,0.98
katyperry,@shannonwoodward Have you been hacked,,23/12/2016 02:22,8.12121e+17,en,,,2541,849,negativo,0.98
katyperry,This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautiful… https://t.co/vL1BIj4sCZ,,21/12/2016 23:05,8.11709e+17,en,,,8592,2305,positivo,0.98
katyperry,Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA,,21/12/2016 22:42,8.11703e+17,en,,,11266,3064,positivo,0.98
katyperry,For real tho https://t.co/jxMV9Q6WCs,,16/12/2016 08:24,8.09676e+17,en,,,12059,3589,positivo,0.98
katyperry,I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6,,07/12/2016 09:03,8.06424e+17,en,,,8985,2446,positivo,0.98
katyperry,I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,,07/12/2016 02:35,8.06326e+17,en,,,6745,1868,positivo,0.98
katyperry,@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.,,06/12/2016 09:56,8.06075e+17,en,,,2527,819,positivo,0.98
katyperry,@jessesaintjohn @kanyewest FADE DOE,,06/12/2016 09:54,8.06074e+17,en,,,2356,795,negativo,0.9
katyperry,"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",,06/12/2016 09:53,8.06074e+17,en,,,6195,1748,negativo,0.98
katyperry,Same https://t.co/98vBUp7BzI,,06/12/2016 09:52,8.06074e+17,en,,,4236,1143,neutro,0.99
katyperry,Fully https://t.co/Iii4a58tPN,,06/12/2016 09:52,8.06074e+17,en,,,4473,1226,positivo,0.99
katyperry,PROOF THAT YOUR VOICE ACTUALLY MATTERS! 🙏🏼🙌🏼💪🏼😭 https://t.co/tAwL0a9y9E,,04/12/2016 22:21,8.05537e+17,en,,,12309,3395,positivo,0.99
katyperry,This holiday season be the girl that takes jump photos at the mall ☑️ wears activewear at night… https://t.co/0eGYnKF5fk,,04/12/2016 07:58,8.0532e+17,en,,,8891,2275,positivo,0.98
katyperry,"Slowly, I am coming down from the beautiful cloud that was Tuesday night's unicef Snowflake… https://t.co/Bia5wug56I",,01/12/2016 20:33,8.04423e+17,en,,,9671,2613,positivo,0.98
katyperry,I dare you to find a better live vocal performance than this timeless masterpiece: https://t.co/J1gW29kC7J #jenniferholliday,,01/12/2016 07:08,8.04221e+17,en,,,6723,1670,positivo,0.98
katyperry,This #Thanksgiving #IStandWithStandingRock text WATER to 82623 to help now! Sign the petition here: https://t.co/GFhQKfsB0i,,24/11/2016 22:31,8.01916e+17,en,,,7115,2278,positivo,0.98
katyperry,"On #Thanksgiving, a day with complex origins, I want to speak up in support of the Standing Rock… https://t.co/CKyB7H3LCD",,24/11/2016 22:14,8.01912e+17,en,,,9457,2705,positivo,0.98
katyperry,"Heading into my family 🦃-Day, I'm mindful about building a bridge thru peaceful convo. Try this guide from @nytimes: https://t.co/mzBbNw1ZHD",,23/11/2016 22:16,8.0155e+17,en,,,7340,2025,positivo,0.98
katyperry,great tweet 🏆 https://t.co/Z6QeywsBpt,,21/11/2016 19:41,8.00786e+17,en,,,7906,2244,positivo,0.98
katyperry,". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric? #thanksgivingdayclapback",,19/11/2016 19:08,8.00053e+17,en,,,28217,11447,negativo,0.9
katyperry,Caught a big one this week 🎣 ...,,19/11/2016 08:23,7.99891e+17,en,,,13734,4721,positivo,0.98
katyperry,Let it be known! https://t.co/AXmAjmNMgc,,19/11/2016 06:28,7.99862e+17,en,,,9069,2471,positivo,0.98
katyperry,Back to work because: ALL OF THE ABOVE 💪🏼 https://t.co/dUvh7jN8Oi,,17/11/2016 07:40,7.99155e+17,en,,,8324,2485,positivo,0.98
katyperry,Operate in the light.,,16/11/2016 23:05,7.99026e+17,en,,,13320,5118,positivo,0.98
katyperry,Confused? Overwhelmed? Here's the brief you need to get the gist: https://t.co/4dwGgeRwMT,,14/11/2016 17:34,7.98218e+17,en,,,9516,2613,positivo,0.98
katyperry,At midnight we MANIFEST ✨🌚✨,,14/11/2016 07:44,7.98069e+17,en,,,15555,4497,positivo,0.98
katyperry,YES LA KEEP LEADING THE WAY ❤️ https://t.co/4LcjvCDJ4U,,13/11/2016 05:02,7.97666e+17,en,,,22532,7136,positivo,0.98
katyperry,"It's time to turn words into action❗️There are so many steps to take, but my first vow is to… https://t.co/1DwETGXbed",,12/11/2016 01:19,7.97247e+17,en,,,12717,3462,positivo,0.98
katyperry,"Thank you to the men and women protecting Freedom, Liberty, and Equality for all. 🙏🏼🇺🇸 https://t.co/0LcB7VYDrx",,11/11/2016 19:55,7.97166e+17,en,,,18210,4997,positivo,0.99
katyperry,"From Pastor John Pavlovitz ""This is not about losing an election"" https://t.co/vVxyZvkyYI",,11/11/2016 04:51,7.96938e+17,en,,,8180,2402,negativo,0.9
